bathnum,feetsqrhouse,price,roomnum
1,"1,234","$409,900",2
2,"2,300","$400,000",5
1.5,"1,399","$500,000",3
4.5,"3,644","$16,500,000",4
1.5,907,"$429,900",3
3,"3,729","$824,999",9
1,375,"$455,000",1
2,"2,082","$679,000",3
1,585,"$499,900",2
1,945,"$499,999",2
2,"1,046","$730,000",1
2,"1,790","$670,000",3
1,975,"$379,999",1
1.5,"1,306","$1,825,000",2
1,"1,114","$799,000",1
1,876,"$418,846",1
1,735,"$699,000",1
1,895,"$589,000",1
1,620,"$390,000",2
1,667,"$549,000",1
1,617,"$575,000",2
2.5,"1,504","$1,649,000",2
1,853,"$529,000",2
3,"3,114","$799,000",6
1,"1,160","$459,000",3
2,884,"$689,000",2
2,"1,772","$3,000,000",2
1,673,"$709,000",2
2,"1,032","$1,290,000",2
1,685,"$419,000",2
2.5,"2,705","$1,499,900",2
2.5,"1,402","$1,390,000",2
3.5,"3,000","$1,895,000",5
2,"1,040","$1,169,000",2
1,615,"$489,000",1
2.5,"1,972","$1,567,740",2
2.5,"1,445","$1,322,175",2
2.5,"1,738","$3,500,000",2
6.5,"4,500","$2,400,000",7
3.5,"2,766","$5,900,000",4
1,747,"$700,000",1
2,"1,619","$1,169,000",3
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
1,"1,050","$429,000",2
3,"1,822","$530,000",4
1,820,"$499,000",1
2.5,"1,493","$549,000",3
1,715,"$465,000",1
2.5,"3,779","$599,900",6
2,"1,360","$549,900",3
2.5,"1,387","$729,900",2
1,319,"$460,000",
1,"1,130","$509,000",2
1,647,"$689,000",1
3,"3,382","$599,000",8
3.5,"2,483","$1,049,000",3
1,993,"$670,000",1
3,"3,332","$775,000",6
1,557,"$549,000",1
3,"2,034","$1,099,000",5
3,"3,100","$720,000",6
1.5+,"1,190","$699,000",2
2,"1,531","$699,000",3
1,875,"$439,000",1
1,782,"$649,000",1
2.5,"1,699","$739,000",3
1,526,"$599,000",
1,"1,016","$628,000",3
1,823,"$599,000",1
1,688,"$825,000",1
3,"1,975","$2,099,000",3
4.5,"3,024","$1,249,000",6
1,710,"$1,275,000",1
2.5,"2,042","$4,799,700",3
3,"1,699","$2,100,000",3
2.5,"2,116","$899,000",3
1.5,843,"$724,980",1
0.5+,"4,524","$2,200,000",
2.5,"1,309","$1,197,735",2
2.5,"1,656","$1,995,000",2
2,"1,128","$799,900",2
2,"1,175","$819,900",2
6,"7,689","$4,100,000",8
6,"4,579","$2,495,000",11
1,506,"$819,700",
6,"4,383","$1,759,000",13
2,"1,203","$739,000",3
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
3,"1,822","$530,000",4
1,820,"$499,000",1
2,"1,155","$299,999",2
2,"1,600","$529,000",3
1,888,"$482,000",2
1.5,"1,151","$619,000",2
2,"1,295","$529,900",2
2.5,"2,328","$799,000",2
2,"1,495","$699,000",4
2,949,"$529,000",2
1,872,"$349,900",2
1,431,"$475,000",1
2,"1,237","$709,000",3
2,"1,600","$649,000",3
1,516,"$499,000",1
1,741,"$534,900",1
2.5,"2,705","$1,499,900",2
3.5,"2,106","$639,900",4
2.5,"2,392","$699,900",4
1,997,"$579,000",1
1,750,"$725,000",2
1,715,"$310,000",2
1,814,"$575,000",2
3,"2,122","$1,575,000",9
2,941,"$749,000",2
1,"1,089","$649,900",2
3,"3,615","$1,750,000",6
3.5,"2,160","$929,900",3
1.5,"1,892","$739,900",3
2,971,"$1,795,000",1
3,"2,979","$1,950,000",8
4.5,"2,393","$1,500,000",5
2,"1,132","$649,000",2
4,"5,280","$1,275,000",12
1,567,"$889,000",1
1,612,"$565,000",1
1,753,"$499,000",1
1.5,842,"$1,269,000",1
2,"1,441","$1,299,000",2
1,642,"$635,000",1
2.5,"2,137","$824,900",3
2.5,"1,637","$809,000",3
18,"12,415","$5,795,000",20
16,"8,400","$2,200,000",16
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
3,"1,822","$530,000",4
1,820,"$499,000",1
1.5,"1,525","$500,000",3
2,"1,134","$449,000",2
2,984,"$679,000",2
2,"1,020","$339,000",2
1.5,"1,637","$599,000",2
1.5,791,"$539,000",2
2.5+,"2,000","$865,000",4
1,"1,072","$419,000",2
1,608,"$499,000",2
3,"3,200","$1,650,000",4
1,739,"$489,000",2
1,430,"$469,999",2
2,"1,263","$689,000",3
1,638,"$439,000",
2,925,"$529,000",2
2,"2,663","$799,000",5
2,"1,007","$539,000",3
2,"2,352","$899,000",4
2,"2,250","$1,699,000",1
2,"1,071","$599,000",2
2,"1,505","$724,000",3
2,"1,336","$885,000",3
1,624,"$399,000",2
2,"1,356","$764,500",2
1,850,"$637,000",1
2,"1,425","$1,759,000",2
2,"1,117","$1,400,000",2
3.5+,"4,040","$6,350,000",4
1,725,"$859,900",1
1,405,"$609,999",2
2.5,"1,851","$875,000",4
2,"1,347","$969,000",2
2.5,"1,640","$1,750,000",2
2,"1,764","$649,000",4
2,"1,256","$1,425,000",2
2,"1,140","$1,477,000",2
4,"3,273","$1,250,000",10
7.5,"4,509","$1,250,000",10
4,"2,200","$1,350,000",4
2,"1,075","$1,074,100",2
2,"1,042","$959,000",2
1,717,"$619,900",1
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
3,"1,822","$530,000",4
1,820,"$499,000",1
2,"1,680","$475,000",4
1.5,"1,555","$549,000",2
1,682,"$459,900",2
1,"1,304","$529,000",3
1.5,815,"$499,000",2
1,364,"$465,000",1
2,"1,050","$529,000",2
1.5,928,"$609,000",2
1,772,"$575,000",2
2.5,"1,881","$1,325,000",2
2,974,"$744,900",2
1,693,"$375,000",2
1,796,"$819,000",1
6,"4,745","$1,350,000",9
2,"1,075","$675,000",2
1,580,"$409,900",1
2,"1,118","$599,000",2
3,"2,008","$1,195,000",3
1,590,"$414,900",1
1,876,"$899,000",1
2.5,"1,515","$779,000",3
2,"1,185","$614,900",3
1,872,"$589,000",2
1,986,"$749,000",3
1,"1,128","$879,000",2
2,"1,180","$679,900",3
1,974,"$899,000",2
2,"1,145","$679,000",2
3.5,"2,349","$1,699,000",4
1,"1,280","$749,900",3
1,966,"$1,100,000",2
2.5,"1,484","$1,699,000",2
6,"4,625","$1,370,000",8
2.5,"1,753","$2,050,000",2
2,"1,478","$1,680,000",3
2,"1,180","$669,000",2
2.5,"2,093","$1,465,000",3
2,"1,187","$1,070,000",2
1,866,"$729,000",2
2,"1,036","$1,099,000",2
2,"1,064","$1,620,000",2
2,"1,064","$1,680,000",2
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
3,"1,822","$530,000",4
1,820,"$499,000",1
1.5,"1,884","$349,955",5
1,"2,607","$429,900",4
2,"1,350","$499,999",2
2.5,950,"$519,000",2
2,"1,466","$505,000",3
1,845,"$349,000",1
1,352,"$465,000",1
1,920,"$529,000",2
1,670,"$399,000",1
5,"4,766","$900,000",6
1,601,"$210,000",2
2,"1,120","$705,000",2
1,720,"$199,000",1
1,760,"$215,000",1
1,587,"$380,000",1
7.5,"5,300","$1,600,000",9
2,"1,650","$749,900",3
2,"2,496","$1,199,000",5
1.5,"1,291","$609,000",2
1,612,"$855,000",1
2.5,"1,500","$929,000",3
1.5,"1,867","$749,000",4
2.5,"1,456","$948,000",2
2,"1,388","$3,470,000",2
1,865,"$519,000",1
2,"1,250","$829,900",2
1,550,"$615,000",1
1,"1,867","$1,300,000",3
4.5,"3,750","$8,995,000",4
2,900,"$659,000",2
2.5,"1,780","$1,497,000",2
2.5,"1,426","$2,525,000",2
1,877,"$768,500",1
1,300,"$309,000",
1,708,"$639,000",
1,868,"$549,000",2
2,"2,662","$1,200,000",7
2,873,"$899,000",2
1,666,"$655,000",1
2.5,"1,787","$1,661,910",2
1,464,"$519,800",1
2.5,"1,571","$2,175,000",3
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
3,"1,822","$530,000",4
1,820,"$499,000",1
1.5,"1,255","$485,000",4
3.5+,"3,374","$6,495,000",3
2.5,"3,511","$649,000",6
1,720,"$314,000",2
1,766,"$540,000",2
2,"1,100","$519,500",2
1,385,"$439,000",1
4,"1,960","$729,900",3
2.5,"1,973","$1,049,000",3
2.5,"2,050","$1,099,000",3
1,830,"$599,000",2
3.5,"1,842","$2,000,000",4
1,673,"$544,900",1
1,"1,152","$424,000",3
2.5,"2,351","$1,529,000",2
3,"5,301","$1,150,000",9
2.5,"1,800","$699,900",3
2,"1,050","$729,900",2
1,"1,472","$1,245,000",2
2,"1,582","$830,000",3
1,810,"$459,900",2
1,676,"$429,000",1
1,"1,042","$499,900",4
2,"1,712","$3,495,000",2
6,"3,264","$1,299,000",9
2,989,"$599,000",2
2.5,"1,715","$1,995,000",2
1,"1,329","$1,265,000",3
2,"2,102","$850,000",5
1,558,"$389,000",1
4.5+,"4,023","$2,145,000",6
2,"1,205","$759,000",3
2,"1,683","$895,000",5
5,"4,025","$1,999,900",9
2.5,"1,383","$3,175,000",2
2.5,"1,192","$799,900",2
2.5,"1,361","$899,900",2
2.5,"1,394","$899,900",2
2.5,"1,681","$1,275,000",3
2.5,"1,681","$1,175,000",3
2.5,"1,281","$2,185,600",2
4,"2,500","$1,690,000",6
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
3,"1,822","$530,000",4
1,820,"$499,000",1
2,"1,243","$375,900",2
1,635,"$199,000",1
1,770,"$399,000",2
2,"3,677","$899,000",5
2,"1,929","$799,900",2
1.5,989,"$995,000",2
1,786,"$385,000",2
2.5,"2,489","$4,200,000",3
1,820,"$499,000",1
1,600,"$539,999",1
1,954,"$305,000",2
3,"2,000","$789,999",3
3,"2,307","$769,900",5
2.5,"1,257","$585,000",2
2.5,"1,915","$1,100,000",3
1.5,"1,433","$834,900",2
1,"1,130","$469,000",2
1,"1,876","$699,900",4
2,"1,625","$719,000",3
2.5,"1,609","$2,900,000",2
2.5,"1,871","$2,299,000",2
4.5,"5,523","$1,175,000",7
2,"1,420","$2,250,000",2
2,979,"$549,000",2
3,"2,790","$949,000",5
1,"1,278","$1,150,000",2
3.5,"4,350","$1,500,000",8
2,"1,060","$725,000",2
1.5,"1,271","$1,345,000",2
2.5,"1,768","$1,968,000",2
3.5,"3,020","$1,820,000",5
1,993,"$699,000",2
3,"2,278","$830,000",6
1,752,"$419,000",2
1.5,904,"$789,000",2
3.5,"3,107","$3,800,000",4
3,"2,490","$899,000",8
1,489,"$469,000",1
1,700,"$669,000",2
1.5,812,"$1,221,000",1
6,"6,660","$2,500,000",13
2.5,"1,406","$2,169,000",2
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
3,"1,822","$530,000",4
1,820,"$499,000",1
7,"4,722","$399,000",10
7.5+,"7,122","$15,000,000",6
1.5,"1,312","$575,000",3
2,"1,371","$594,500",4
1,701,"$574,900",2
2,"1,371","$575,000",4
2.5,"1,165","$699,000",2
1,965,"$508,800",2
1,740,"$436,827",1
2,677,"$599,000",2
3,"1,696","$879,000",3
1,655,"$649,000",1
2.5,"2,094","$2,295,000",3
2,"1,287","$1,029,000",2
3,"1,977","$799,000",5
2.5,"1,873","$699,000",3
2,"1,165","$489,000",2
1,630,"$328,000",1
2.5,"1,981","$725,000",3
1,827,"$454,000",2
1,888,"$1,250,000",1
1.5,"1,449","$799,000",4
1.5,"1,872","$829,900",3
1,"1,068","$549,900",2
2,"1,540","$1,775,000",2
2,970,"$619,000",2
2,"1,238","$1,199,999",2
3.5,"2,083","$885,000",3
2.5,"3,776","$1,350,000",6
1,800,"$1,250,000",
5,"4,050","$1,895,000",6
2.5,"1,320","$799,000",3
2,"1,200","$749,900",2
2.5,"2,188","$1,395,000",3
2,"4,797","$2,500,000",5
,"1,000","$1,600,000",
2,890,"$765,000",2
2,"1,008","$959,000",2
1,892,"$789,000",2
6,"7,596","$1,849,000",18
1,623,"$854,900",1
1,939,"$1,099,900",1
4,"2,200","$1,350,000",4
3.5,"2,160","$929,900",3
2.5,"1,600","$950,000",4
2.5+,"2,000","$865,000",4
2.5,"1,851","$875,000",4
2.5,"1,851","$875,000",4
1,676,"$429,000",1
2.5,"1,945","$2,574,000",3
2,"1,574","$2,200,000",2
1,615,"$469,000",2
1,550,"$429,000",1
2,"1,347","$969,000",2
2,"1,050","$729,900",2
1.5,"1,361","$1,044,500",3
2,938,"$669,000",2
2,"1,386","$939,000",2
1,753,"$579,000",1
2,"1,720","$679,900",4
3,"1,822","$530,000",4
1,820,"$499,000",1
